,departement,total_pop,total_pop_hommes,total_pop_femmes,total_pop_0_14,total_pop_15_29,total_pop_30_44,total_pop_45_59,total_pop_60_74,total_pop_75_89,total_pop_90_plus
0,01,647634,319495.344477,328138.655523,129307.549814,103295.570278,128563.794168,134511.542765,99955.708389,44848.977439,7150.857147
1,02,533316,259940.30177,273375.69823,100724.735354,86832.172264,95215.110512,107132.974398,94354.303143,42848.038889,6208.665441
2,03,337171,161678.774642,175492.225358,50901.10043,47637.921737,52528.573285,69430.739882,70773.963775,39426.517414,6472.183477
3,04,164068,79761.636016,84306.363984,25816.204613,22074.280269,26350.180061,35020.636023,34384.476903,17560.021825,2862.200306
4,05,140698,68721.935151,71976.064849,22735.625439,19292.99163,24349.834457,29904.052689,28263.832935,13872.710427,2278.952425
5,06,1086219,513523.955324,572695.044676,170780.735428,169178.04905,195537.439938,218769.880948,196408.735646,116021.483844,19522.675145
6,07,326606,159432.280535,167173.719465,54157.753127,44677.416402,54642.547958,69112.847643,66042.795281,32545.639839,5426.99975
7,08,271845,132807.182506,139037.817494,47953.623498,42574.937596,47701.27348,57146.910783,49851.481649,23425.888648,3190.884346
8,09,153066,74952.535132,78113.464868,23667.006468,20791.007103,25076.149014,32405.133001,31565.643448,16686.037057,2875.02391
9,10,310020,150624.483774,159395.516226,56410.49942,52643.405427,54534.455523,60498.673292,54663.935965,26883.380903,4385.649469
10,11,372806,179243.264311,193562.735689,60365.532488,52078.783105,61575.707622,76109.927223,77559.802285,38833.961026,6282.286252
11,12,279274,137777.061686,141496.938314,42579.636036,37862.021878,44902.086964,58005.392802,57251.255426,33031.044026,5642.562868
12,13,2034357,971691.593994,1062665.406006,359032.216317,360406.683948,379528.370291,401908.859275,334652.416167,172373.236025,26455.217978
13,14,694056,333465.73425,360590.26575,119180.474696,124948.046077,121156.135185,134888.009844,124946.244632,59631.31713,9305.772435
14,15,144765,70743.932731,74021.067269,20508.106834,18476.630672,23153.694331,31266.545337,31276.801462,17201.675817,2881.545547
15,16,351778,170292.036507,181485.963493,54896.244998,51455.079949,58142.595376,73525.808348,70869.324216,36630.16714,6258.779973
16,17,646932,309542.128588,337389.871412,96776.297366,90515.629231,104442.112788,129503.157676,142881.88444,71061.681586,11751.236915
17,18,303408,146966.529794,156441.470206,48085.708631,43553.088214,49286.301966,63224.11455,62216.176019,31910.042817,5132.567804
18,19,240583,116754.228971,123828.771029,35177.390167,33842.969591,38511.936916,49692.750828,50448.491568,28009.579842,4899.881088
19,2A,157853,76240.826194,81612.173806,24703.115378,21732.221538,30406.572915,33290.53257,29337.601553,16401.236779,1981.719267
20,2B,180701,88480.189197,92220.810803,27938.323448,28705.362808,34326.476662,36857.938678,33314.632535,17184.619306,2373.646562
21,21,533220,257259.260578,275960.739422,87353.746937,102534.485652,94366.195383,104558.607194,91613.191815,44923.27021,7870.502809
22,22,599584,289617.666808,309966.333192,100695.311749,83392.750726,97200.34075,120688.600301,123788.942561,63860.465704,9957.588208
23,23,117503,57028.539674,60474.460326,15695.926386,14488.419199,17030.999863,25151.570919,27425.621148,14909.192579,2801.269906
24,24,413418,199164.724726,214253.275274,59229.01557,52806.100613,63421.646835,87144.132925,93857.578432,48942.981318,8016.544307
