,Nom,Téléphone,Adresse,Ville,Département,Capacité,Type d'établissement,Capacité médecine,Capacité chirurgie,Capacité obstétrique,Capacité psychiatrie,Capacité moyen séjour,Capacité long séjour,Capacité hébergement,Capacité hospitalisation à domicile,Capacité service de soins infirmiers à domicile,Equipement : scanner,Equipement : irm,Equipement : radiologie numérisée,Equipement : radiologie vasculaire,Equipement : caméras à scintillon,Equipement : tep (tomographe)
0,Centre hospitalier Fleyriat (Bourg-en-Bresse),04 74 45 46 47, 900 route de Paris CS 90401 01012 Bourg-en-Bresse,Bourg-en-Bresse,01, 554 places, Centre Hospitalier,351,139,64,0,0,0,0,0,30,2,2,4,1,0,0
1,Centre hospitalier Bugey Sud (Belley),04 79 42 59 59, 700 avenue de Narvik  01300 Belley,Belley,01, 308 places, Centre Hospitalier,56,19,8,0,40,0,185,0,0,1,0,2,0,0,0
2,Centre Hospitalier du Pays de GEX - site de Gex Direction Commune Centre Hospitalier Annecy Genevois (Gex),04 50 40 38 38, 160 rue Marc Panissod BP 437 01174 Gex,Gex,01, 220 places, Hôpital local,0,0,0,0,20,30,170,0,0,0,0,0,0,0,0
3,CENTRE HOSPITALIER Michel Poisat (PONT-DE-VAUX),03 85 30 80 00," 279, Chemin des Nivres BP 55 01190 PONT-DE-VAUX",PONT-DE-VAUX,01, 207 places, Hôpital local,15,0,0,0,20,0,172,0,0,0,0,0,0,0,0
4,Centre Hospitalier Public d'Hauteville (CHPH) Unité Bellecombe-Albarine (Hauteville-Lompnès),04 74 40 80 00, BP 41  01110 Hauteville-Lompnès,Hauteville-Lompnès,01, 204 places, Centre Hospitalier,15,0,0,0,120,0,69,0,0,0,0,1,1,0,0
5,CENTRE HOSPITALIER  (THOISSEY),04 74 04 99 00, THOISSEY  01140 THOISSEY,THOISSEY,01, 202 places, Centre Hospitalier,8,0,0,0,29,0,165,0,0,0,0,0,0,0,0
6,Unités de soins de longue durée Hôtel-Dieu (BOURG EN BRESSE),04 74 45 40 87, 47 Boulevard De Brou CS 90401 01000 BOURG EN BRESSE,BOURG EN BRESSE,01, 174 places, Etablissement de Soins Longue Durée,0,0,0,0,80,94,0,0,0,0,0,0,0,0,0
7,CENTRE  HOSPITALIER  (PONT DE VEYLE),03 85 36 23 50, Rue Pierre GOUJON BP 68 01290 PONT DE VEYLE,PONT DE VEYLE,01, 171 places, Centre Hospitalier,12,0,0,0,18,30,111,0,57,0,0,0,0,0,0
8,Centre Hospitalier du Haut-Bugey (Oyonnax),04 74 73 10 01, 1 Route de Veyziat BP 818 01108 Oyonnax,Oyonnax,01, 155 places, Centre Hospitalier,78,26,21,0,30,0,0,0,0,1,1,3,0,0,0
9,L'HOPITAL NORD OUEST TREVOUX  (Trévoux),04 74 10 50 00, 14 rue de l'hôpital CS 70615 01606 Trévoux,Trévoux,01, 128 places, Centre Hospitalier,59,0,0,0,69,0,0,0,0,0,0,0,0,0,0
10,Etablissement de Santé pour adolescents Groupe MGEN (Chanay),04 50 56 80 00, Chanay  01420 Chanay,Chanay,01, 118 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0
11,CMPR Château d'Angeville (HAUTEVILLE LOMPNES),04 74 40 43 00, Château d'Angeville BP 39 01110 HAUTEVILLE LOMPNES,HAUTEVILLE LOMPNES,01, 103 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
12,Centre Hospitalier Public d'Hauteville (CHPH) Unité Inter (Hauteville-Lompnès),04 74 40 80 00, rue des narcisses BP 41 01110 Hauteville-Lompnès,Hauteville-Lompnès,01, 85 places, Centre Hospitalier,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
13,CENTRE HOSPITALIER  (MEXIMIEUX),04 74 61 01 77," 13, rue du Docteur Boyer  01800 MEXIMIEUX",MEXIMIEUX,01, 73 places, Hôpital local,9,0,0,0,20,44,0,0,32,0,0,0,0,0,0
14,Centre de Médecine Physique et Réadaptation ORCET (HAUTEVILLE LOMPNES),04 74 40 22 01, Rue du Dr Delannoy BP 5 01110 HAUTEVILLE LOMPNES,HAUTEVILLE LOMPNES,01, 71 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
15,Centre Hospitalier Public d'Hauteville (CHPH) Unité Espérance (Hauteville-Lompnès),04 74 40 80 00,  BP 41 01110 Hauteville-Lompnès,Hauteville-Lompnès,01, 50 places, Centre Hospitalier,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
16,Centre hospitalier  (Saint-Quentin),03 23 06 71 71," 1, avenue Michel de l'Hospital BP 608 02321 Saint-Quentin",Saint-Quentin,02, 892 places, Centre Hospitalier,343,112,18,112,56,60,191,0,0,2,1,5,2,0,0
17,"Centre hospitalier de Soissons - GHT SAPHIR (Groupement hospitalier du territoire Sud-Axonais, Publi  (Soissons)",03 23 75 70 70," 46, avenue du Général de Gaulle  02209 Soissons",Soissons,02, 680 places, Centre Hospitalier,171,57,52,0,60,50,290,0,0,2,2,3,0,0,0
18,Centre hospitalier  (Laon),03 23 24 33 33, rue Marcelin Berthelot  02001 Laon,Laon,02, 360 places, Centre Hospitalier,168,48,24,0,40,40,40,0,0,1,0,4,0,0,0
19,Hôpital Villiers Saint Denis  (VILLIERS ST DENIS),03 23 70 75 22, 1 rue Victor et Louise Monfort BP 1 02310 VILLIERS ST DENIS,VILLIERS ST DENIS,02, 357 places, Etablissement de Soins Pluridisciplinaire,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0
